colony_id,area,perimeter,solidity,centroid_x,centroid_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cells_per_colony,cell_density,has_vox,area_um2,perimeter_um,density_um,centroid_x_um,centroid_y_um,mean_biofilm_density
1,16485.0,562.7594482898712,0.9495967741935484,65.0304620361945,426.646830451926,0,355,172,498,1,0.00006066120715802245,true,30.955166666666667,24.386242759227752,0.03230478487705337,2.8179866882350955,18.48802931958346,0.021349057191103433
2,1825286.0,19298.672315955162,0.5372799116467566,1134.8245579048983,1250.0334438913499,0,0,2048,2044,86,0.00004711590402819065,true,3427.481488888889,836.275800358057,0.02509130983749798,49.17573084254559,54.168115901958494,0.010142914707397976
3,589065.5,5066.503213644028,0.7532330114653868,731.1376618276462,388.5404232070401,163,0,1304,831,86,0.0001459939514366399,true,1106.1341055555556,219.54847259124122,0.0777482581615242,31.682632012531336,16.83675167230507,0.021978916990920434
